deck,front,back,reading,pos,examples,tags
Default,暗がり,暗处。隐私。,くらがり,,くらがりで内緒話をする。在暗处说悄悄话。 | くらがりに強いデジカメ。擅长拍摄暗景的数码相机。,"N1,vocab"
Default,暗愚,愚昧。,あんぐ,,,"N1,vocab"
Default,傲然,倨傲，高傲，傲然。以高傲态度看人的样子。,ごうぜん,,,"N1,vocab"
Default,奥義,秘诀，堂奥。,おうぎ,,書のおうぎを極める。钻研书法的奥妙。 | 職人のおうぎ。工匠的诀窍。,"N1,vocab"
Default,八百長,假比赛。作弊。,やおちょう,,あの野球はやおちょうだ。那场棒球赛有舞弊现象。 | やおちょう試合ができないように試合関係者は排除される。为了不发生比赛舞弊的现象，把有关的人员排除在外。,"N1,vocab"
Default,八百屋,蔬菜店。菜铺。,やおや,,あの店は有機栽培の野菜だけを扱うやおやです。那是一家只卖有机蔬菜的菜店。,"N1,vocab"
Default,抜け毛,脱发，脱毛。脱落的头发,ぬけげ,,犬にぬけげはつきものですから毎日ブラッシングします。狗都会脱毛，所以要每天梳理。 | 秋はぬけげがひどい。秋天头发掉得厉害。 | 抜け毛を止める。控制住掉头发。 | 彼女の髪の毛は抜け毛がひどい。她头发掉得厉害。,"N1,vocab"
Default,白ける,①变白，褪色。,しらける,,白けた紙。褪色的纸。 | 写真が白ける。相片褪色。 ②尴尬冷场。扫兴，败兴。 | 席が白ける。情绪低落，冷场。,"N1,vocab"
Default,白む,变白。发白。,しらむ,,東の空がしらむ。东方发白。东方露出了鱼肚白。,"N1,vocab"
Default,白状,坦白交代。招认。自供。,はくじょう,,ボーイフレンドの存在を嬉しそうにはくじょうした。喜滋滋的坦白交代了有男朋友的事。 | 一切合切はくじょうさせてやる。一定让他彻底交代。,"N1,vocab"
Default,板前,①厨师，大师傅。红案。尤指日本菜的厨师。,いたまえ,,板前の腕のみせどころ。显示烹饪技术的精彩之处。 | あの人が一流の板前やったんか。那个人是一流的厨师吗。 ②厨师长。 ③饭馆放案板的地方。厨房。,"N1,vocab"
Default,半ば,①一半。,なかば,,なかばする。参半。 | 功罪相なかばする。功罪参半。 | 月なかばには帰れるだろう。月中能回来吧。 | 住民のなかばはすでに立ち退いた。居民的一半已经搬走了。 | なかば無意識に頭をかいた。半无意识地挠着头。 | 工事はなかば終わった。工程完成了一半。 ②半途。中途。 | 彼は学業なかばにたおれた。他在学业中途生病倒下了。 ③几乎。似乎。 | 彼はなかば追われるように村を去った。他像被驱逐了的一样离开了村子。,"N1,vocab"
Default,半端,①不彻底。,はんぱ,,中途半端なやり方。不彻底的做法。 | 彼は何をするにも中途半端だ。他搞什么都是半途而废。 | はんぱな気持ちでできる仕事ではない。这工作不是随随便便的态度就能做成的。 | ちゅうとはんぱ。中途半端。半途而废。不彻底。 | おまえは何をするにも中途はんぱなんだ。你做什么都是半途而废。 ②零头。 | はんぱな時間。零星时间。 | できる人ははんぱな時間を無駄にしない。能干的人连零星的时间也不浪费。 | セット販売にはどうしてもはんぱが出る。配套销售总会有零头。 ③无用的人，废物。 | 半端な人間になるな。不要做无用的人。 | 半端者。笨蛋；呆子。,"N1,vocab"
Default,半面,①半边脸。,はんめん,,半面像。侧面像。 ②片面。 | 彼の言ったことにも半面の理がある。他说的也有几分道理。 ③另一面，另一方面。 | 隠れた半面。隐藏的另一面。,"N1,vocab"
Default,薄らぐ,变淡薄。减轻。,うすらぐ,,痛みがうすらぐ。疼痛减轻。 | 失恋から3ヶ月，胸の痛みも薄らいできた。失恋后过了三个月，心里的伤痛也逐渐淡漠了。3月に入って寒さが薄らいできた。到了三月，寒冷也渐渐缓和了。,"N1,vocab"
Default,薄れる,淡薄。模糊。,うすれる,,彼はもはや音楽への関心が薄れている。他对音乐已经不太感兴趣了。 | 年々記憶が薄れてゆく。一年比一年记忆模糊了。 | 何度も洗ううちにシャツの色が薄れてきた。洗了好几次，衬衫退色了。,"N1,vocab"
Default,薄明かり,微光。微亮。,うすあかり,,カーテンの隙間からうすあかりがもれる。从窗帘缝中透出微光。 | 夜明けのうすあかりを頼りに道をたどる。凭借黎明时的微亮上了路。,"N1,vocab"
Default,飽き,厌烦，腻。,あき,,飽きがくる。厌腻。 | こんな仕事には飽きがきた。这个工作已经腻了。 | 飽きのこない味。使人吃不腻的味道。,"N1,vocab"
Default,飽きる,够，厌倦。,あきる,,ホームドラマも見飽きた。家庭故事剧也看腻了。 | 毎日豆腐じゃ食べ飽きたよ。每天都是豆腐，早吃腻了。 | 親父の説教も聞き飽きた。老爹训人，我早就听腻了。 | 勉強に飽きてテレビをつける。我对学习厌烦，打开了电视。 | 彼はおよそ仕事にあきることを知らない。他干工作几乎不知道厌倦。 6,"N1,vocab"
Default,報いる,①报答。回报。,むくいる,,恩義にむくいる。报答恩情。 | 悪に対して善でむくいる以善报恶。 | 人に忘恩をもってむくいる忘恩负义。 | 暴にむくいるに暴をもってする。以眼还眼，以牙还牙。 | 彼の努力は十分に報いられた。他的努力得到了充分的回报。 | 彼の労は1ヶ月の有給休暇で報いられた。他的辛劳得到了一个月带薪休假的回报。 | 介護サービスは報いられることの少ない仕事です。护理工作是一项报酬微薄的工作。 | 彼の善意は報いられずに終わった。他的善意最终没有得到回报。 | 彼の功績にむくいるために会社は金一封を添えて表彰した。对于他的贡献，公司予以奖金以示表彰。 ②报复，报仇，回报。 | 善に報いるに悪をもってする。以恶报善;善将恶报。 | 恩を仇で報いる。恩将仇报。 | 一矢を報いる。针锋相对，予以还击。,"N1,vocab"
Default,卑しい,①下贱。,いやしい,,卑しい行い。 | 行为卑鄙。卑しいことばづかい。说话粗俗下流。 | 品性が卑しい。品质卑劣。 | 彼の精神がいやしいのだ。他精神上很卑俗。 ②贪婪的。 | 金銭に卑しい。贪婪钱财。 | いやしげに食う。贪婪地吃，饕餮。 | 口がいやしい。嘴馋。 ③贫穷的。 | 卑しい身なり。破旧的衣着。 | 卑しい暮らしをする。过简陋生活。 ④卑微的。 | 卑しい生まれ。出身低贱。,"N1,vocab"
Default,卑しむ,鄙视。,いやしむ,,いやしむべき行為。令人蔑视的行为。,"N1,vocab"
Default,卑近,浅显。浅近。,ひきん,,ひきんな例。浅显的例子。 | ひきんな言い方をすると…。用浅显的说法来讲…。 | ひきんな例で恐縮ですが。不好意思，举一个通俗的例子。,"N1,vocab"
Default,悲しむ,感伤。伤心。难过。,かなしむ,,喜ぶ人もいればかなしむ人もいる。有人高兴也有人悲伤。 | 人の不幸をかなしむ。为别人的不幸而悲伤。 | そんなにかなしむのはおやめなさい。不要那么难过。 | 家族を悲しませるようなことはもうやめろ。不要再做让家里人难过的事情了。 | かなしむべきはかなしむ心を失ったことだ。可悲的是失去了悔过之心。,"N1,vocab"
Default,背く,①背着，背向。,そむく,,太陽にそむいて立つ。背着太阳站着。 ②违背，不遵从。 | 命令に背く。不服从命令；违抗命令。 | 親にそむく。背叛父母。 | 教えに背く。违背教诲。 | 約束に背く。违背诺言；违约；背约。 ③背叛，辜负。 | 国に背く。背叛国家。 | 信義に背く。背信弃义。 | 大衆の期待にそむかない。不辜负人民的期望。 | 期待にそむく。辜负期望。 | 世間の期待にそむく結果になってしまった。结果辜负了社会的期望。,"N1,vocab"
Default,背丈,身量。个子。身长。,せたけ,,毎日せたけが伸びているような気がする。好像每天身高都在长。 | 柱にもたれてせたけを測る。靠在柱子上量身高。,"N1,vocab"
Default,被る,①戴。,かぶる,,帽子をかぶる。戴帽子。 | 砂ぼこりをかぶる。砂石扑面。 | ヨットが波をかぶる。波浪冲上帆船。 ②蒙受。承受。 | 罪をかぶる。替人担罪。 | かめんをかぶる。仮面を被る。戴面具。 | 正義の仮面をかぶる。戴着正义的假面具。 | ねこをかぶる。猫を被る。假装老实。,"N1,vocab"
Default,備わる,具备。具有。设有。,そなわる,,品位がそなわる。有风度。 | 会長としての威厳が備わってきた。渐渐具备了一个会长应有的威严。 | 必要な設備や機能が備わっていない。不具备必要的设备和功能。 | 何でも備わっている部屋。应有尽有的房间。,"N1,vocab"
Default,本家,正宗。本家。嫡派，嫡系。,ほんけ,,ほんけ本元正宗。 | 事業のほんけ本元が失踪してしまった。事业的发起人失踪了。 | 土地を売るならほんけの了解を取ってほしい。要卖地的话，一定要征得本家的同意。 | ほんけから暖簾を分けてもらってこの店ができた。从本家领受了同一个名号开了这个店。,"N1,vocab"
Default,本末,本末。,ほんまつ,,ほんまつを誤ってはならない。不能本末倒置。 | それはほんまつを転倒した議論だ。那是本末倒置的议论。 | ほんまつてんとう。本末転倒。舍本逐末。本末颠倒。 | 当局の見解はほんまつ転倒も甚だしい。当局的见解本末倒置得非常厉害。,"N1,vocab"
Default,崩す,①使崩溃。拆毁。,くずす,,積み木をくずす。弄散木堆。 | 体調をくずす。搞垮身体。 | 字を崩して書く。潦草写字。 | 膝をくずして座る。宽坐。 | 心のバランスをくずす。心态失控。 ②破。换零钱。 | 一万円札を千円札に崩す。把一万日元的钞票破成一千日元的。 | 五千円札をくずして千円札5枚にする。把五千日元钞票换成五张一千日元的零票。 ③打乱。 | 列を崩す。搞乱队形。 | ひざを崩す。改跪坐为随便的坐式。 | 姿勢を崩す。改为随便的姿势。 | 身持ちを崩す。品行变坏；堕落。,"N1,vocab"
Default,崩れる,①崩溃，坍塌，倒塌。,くずれる,,崖がくずれる。悬崖坍塌。 | 彼女は床にくずれるように倒れた。她瘫倒在地板上。 | ディフェンスが崩れた。防线崩溃。 ②零乱，变形，走样。 | 背広の型がくずれる。西服走样。 | アリバイがくずれる。不在场的证明站不住脚了。 | 形がくずれる。走样。 | 信頼が一瞬にして崩れた。一下子丧失了信任。 | 需給バランスが崩れた。供求失去平衡。 ③变天，天气变坏。 | 天気がくずれる。天气变坏。 ④换成零钱，找零。 | 一万円札ではくずれません。一万日元钞找不开。 ⑤行市下跌。行市跌落。 | 値がくずれる。价值下跌。,"N1,vocab"
Default,筆力,笔力，笔势。,ひつりょく,,この著者には最後まで読ませるひつりょくがある。这位作者有让读者看到最后的笔力。 | 結局僕はひつりょくが足りないのだ。我到底还是笔力不够。,"N1,vocab"
Default,必ずしも,不一定。未必。,かならずしも,,かならずしも正しいとは言えない。未必正确。 | それはかならずしも必要ではない。那未必需要。,"N1,vocab"
Default,閉ざす,①关闭。,とざす,,門を閉ざして人を入れない。把门关上不让人进来。 ②封，封闭，封锁。 | 道を閉ざす。封锁道路。 | 門をとざす。锁门。 | 口をとざす。缄口。 | 爆弾テロが和平への道をとざす。炸弹恐怖阻碍了通往和平的道路。 ③封上，封住。 | 港は氷に閉ざされている。港口被冰封上了。 | 氷に閉ざされた港。被冰封住的港口。 | この一帯は冬になると雪に閉ざされる。这一带一到冬天就被雪封住了。 | 雪に閉ざされた村。被积雪封锁的村庄。 | 被災地の夜は闇に閉ざされていた。受灾地区的夜晚笼罩在一片黑暗中。 ④憋在心里。 | 悲しみに胸が閉ざされる。心中充满悲伤。 | 彼女はかたく心を閉ざして誰とも語らなかった。她紧闭心扉，对谁也没说。,"N1,vocab"
Default,閉じる,①关闭。合上。,とじる,,今月末で店をとじる。到这个月底商店关门。 | この花は夕方になるとみんなとじる。这种花一到傍晚就会合上花瓣。 | 面白くて途中で本をとじることができない。这本书太有意思了，非把它一口气看完不可。 | 彼女はキスをするとき目をとじる。她接吻的时候闭着眼睛。 ②结束。 | これで会を閉じることにいたします。会就开到这里；现在散会。 | 式は11時に閉じます。仪式十一点结束。 | 偉大な生涯を閉じた结束了伟大的一生。,"N1,vocab"
Default,壁面,墙面。,へきめん,,,"N1,vocab"
Default,弁舌,口才。唇舌。,べんぜつ,,べんぜつの才。辩才。 | べんぜつさわやか。能说会道。 | べんぜつをふるう。进行辩论。 | べんぜつの立つ人。很会辩论的人。,"N1,vocab"
Default,便り,消息。音信。,たより,,母のたより。母亲的信。 | たよりのないのはよいたより。没有消息，就是好消息。 | 時々たよりをして下さい。常给我写信啊。 | 彼からは長い間たよりがない。他很长时间没有来信了。 | 花の便り。花讯。 | 便りのないのはよい便り。无信是好信。,"N1,vocab"
Default,便乗,搭车。乘机。趁机。,びんじょう,,びんじょう値上げ。乘机涨价。,"N1,vocab"
Default,便宜,①方便。利益。,べんぎ,,べんぎを図る。谋求方便。 | 自己のべんぎを図る。为自己谋利益。 | 公衆のべんぎのためと称して工事を強行する。冒着为公众利益的名，强行施工。 | できる限りのべんぎをお図りします。尽力提供方便。 | べんぎ主義の政策。机会主义的政策。 | べんぎ上自動車の乗り入れは断っている。出于某种理由，拒绝汽车开进来。 ②特别处理，权宜措施。 | 便宜を図る。谋求特别处理。 | 便宜を計らう。作出权宜措施。,"N1,vocab"
Default,変わり種,奇特的存在，变种，怪人。,かわりだね,,彼は本校卒業生中のかわりだねだ。他是本校毕业生中的奇特人物。,"N1,vocab"
Default,表れる,①表现，显出。出现在表面。,あらわれる,,態度に表れる。表现在态度上。 | 本性が表れる。露出本性。 | 喜びの表現が表れる。露出高兴的表情。 ②显示，表现。被具体地表示。 | 成績が数字に表れる。成绩表现为数字。,"N1,vocab"
Default,表札,门牌。牌。,ひょうさつ,,戸口にひょうさつがない。门口没有门牌。,"N1,vocab"
Default,併せて,共计；同时。,あわせて,,併せて健康を祈る。并祝健康。,"N1,vocab"
Default,泊める,留宿。,とめる,,客をとめる。留客人住宿。 | 今夜は満室でお泊めできません。今晚客满，不能留宿。 | 1晩とめる。留宿一宿。,"N1,vocab"
Default,補う,弥补。补充。,おぎなう,,パートに出て家計をおぎなう。打工补贴家用。 | カルシウム不足をおぎなう食品。补钙的食品。 | 我々のチームはよく補い合う。我们的队伍互补得很好。,"N1,vocab"
Default,補欠,后备。补缺。,ほけつ,,ほけつ選手。后备队员。 | 僕はほけつ選手のままで終わった。我以替补队员的身份结束了。 | 辛うじてほけつで合格することができた。好不容易做为补缺合格了。 | ほけつ選挙に打って出ることにした。决定参加补缺选举。,"N1,vocab"
Default,不審,可疑。,ふしん,,ふしんに思う。觉得可疑。 | 挙動ふしんな男。举止可疑的男人。 | ふしんをいだく。心生疑团。 | ふしん尋問を受ける。受到警察事务性盘问。 | ふしんじんぶつ/不審人物。可疑人物。 | ふしんび/不審火。原因不明的火灾。,"N1,vocab"
Default,不作法,没规矩，粗鲁。,ぶさほう,,無作法な振る舞い。 粗鲁的举止。,"N1,vocab"
Default,歩む,行，走。,あゆむ,,われわれが歩んできた道。 我们走过的道路。前进，进展，经历过。 | 苦難の道を歩む。 在艰苦的道路上前进。,"N1,vocab"
Default,歩合,比率。比值。回扣。佣金。,ぶあい,,ぶあい制で働いている。我按业绩提成拿工资。 | 公定ぶあいを引き上げる。提高法定汇率。,"N1,vocab"
Default,擦る,擦。蹭。搓。,こする,,タオルでごしごしからだをこする。用毛巾用力地搓身体。 | 高速の出口で擦っちゃった。汽车在高速公路的出口蹭伤了。 | 僕は思わず目を擦った。我情不自禁地擦了擦眼睛。,"N1,vocab"
Default,擦れる,①磨，摩擦。,こすれる,,木の葉の擦れる音。树叶沙沙的声音。 | 擦れて足にまめができた。脚上磨了个泡。 | 天井に頭が擦れる。头碰天花板。 | 擦れて痛い。磨得疼。 ②久经世故。变得油滑。 | 彼は多少擦れたところがあった。他有些油滑。 | 擦れた感じの女。好象已失纯真的女人；稍显风骚的女人。 ③磨损，磨破，磨薄。 | そで口が擦れてしまった。袖口磨破了。 | 石段が擦れてすべすべになっている。石阶磨平滑了。,"N1,vocab"
Default,才覚,①才智。机智。机灵。,さいかく,,さいかくがある。有机智。 ②计划，计策，主意。筹措。 | 金の才覚をつける。设法筹款。 | 金のさいかくがつかない。筹不到款。,"N1,vocab"
Default,裁き,审判。,さばき,,法のさばきを受けなくてはならない。必须受法律制裁。 | さばきを下す。判决。 | 被告となってさばきの庭に立つ。成为被告站上法庭。,"N1,vocab"
Default,裁く,审判。裁判。,さばく,,戦争犯罪をさばく。审判战争时的罪行。 | 人が裁かないで神がさばくはずがない。人们自己不去审判，神灵也不会来审判。 | 事件をさばく。对事件进行审判。,"N1,vocab"
Default,裁つ,裁，剪。,たつ,,布を二つに裁つ。把布裁成两截。,"N1,vocab"
Default,彩る,①上色，涂上（施加）颜色，施彩色，着色。,いろどる,,壁をうすい黄色に彩る。把墙涂上浅黄色。 | 浜辺は赤や青の水着に彩られた。海边被红红绿绿的游泳衣装点上了。 ②装饰，点缀。 | 花で食卓を彩る。用鲜花点缀食桌。桜で彩られている島々。满是樱花的岛屿。 | 会場を花でいろどる。会场上装饰着鲜花。 ③化妆。 | こってりと彩った役者の顔。化得浓艳艳的演员的脸。,"N1,vocab"
Default,残す,①留下。,のこす,,残しておく。保留。 | 食べのこす。吃剩下。 | 妻は書き置きを残して家を出た。妻子留下一个字条就离家出走了。 | 犯人は何の痕跡も残さず消え失せた。犯人没有留下任何痕迹消失了。 | 書き付けを残していった。留下条子走了。 | 残しておいてあす食べよう。留着明天再吃吧。 | 放課後に残される。放学后被留下了。 | 話し残したことがある。有点没说完的事情。 | 恨みを残して死ぬ。留下了仇恨而死；遗恨而死。 | ごはんを残さず食べなさい。饭菜要吃干净。 ②剩下。 | 卒業まであと2ヶ月をのこすばかりだった。离毕业仅剩下两个月的时间了。 | 食事を残す。剩下饭菜。 | 千円だけ残す。只剩下1000日元。 ③遗留。 | 莫大な財産を残す。遗下大笔财产。 | 後世に名を残す。名垂后世。 | 彼が残したのは借金だけだ。他光留下了债。,"N1,vocab"
Default,残る,①留，留下；呆。,のこる,,家に残る。留在家里。 | 最後まで残る。呆到最后。 | 現地に残って調査を続ける。留在当地继续调查。 ②剩余，剩下。 | テーブルにはまだりんごが残っている。桌子上还剩着苹果。 | 10から7を引くと3残る。十减七剩三。 | 金はいくら残っているか。还剩下多少钱？ | いくら働いても残らない。怎么干也剩不下钱。 ③留，残存，残留。 | 彼女にはまだまだ昔の美しさが残っている。她还留有以往的美丽。 | 地面にはまだ雪が残っている。地面上还残留着雪。 | 目玉商品が売れのこる。热门商品没卖完。 | 冷蔵庫にはチーズしか残っていない。冰箱里只剩下奶酪。 | やけどのあとが残る。落下个烧伤疤痕。 | その習慣はまだ残っている。那种习惯还保留着。 | 頂上には雪が残っている。山顶上还残留着积雪。 | 男尊女卑の思想はまだまだ残っている。社会上还残留着男尊女卑思想。 | 母のことばがまだ耳に残っている。母亲的话至今留在我耳边。 | 事故の後遺症が残った。事故后留下了后遗症。 | それはわたしの記憶にはっきり残っている。那件事我记忆犹新。後世に残る名画。留（流）传后世的名画。,"N1,vocab"
Default,操る,①开动，驾驶，驾驭。善于操作。耍，耍弄。,あやつる,,舟を操る开船；驶船。馬を巧みに操る。善于驾驭马。 | 人形を操る。耍木偶。 | 5ヶ国語をあやつる。会说五国话。 ②操纵，控制。 | 人を思うままに操る。任意操纵人。 | 物価を操る。操纵物价。 | 世論を操る。操纵舆论。 | 背後であやつる人物がいるらしい。好像有人在背后操纵。 | 人を操って自分の目的を達する。操纵别人实现自己的目的。,"N1,vocab"
Default,側近,左右。亲信。,そっきん,,大統領のそっきん。总统亲信。 | 首相そっきん筋の情報。来自首相亲信方面的消息。,"N1,vocab"
Default,扱い,①使用；操纵。,あつかい,,この機械の扱いはかんたんだ。这个机器容易操纵。 ②待，待遇。 | あのホテルは客の扱いがていねいだ。那家旅馆待客周到。 ③当……对待，看待。 | 人を罪人扱いする。把人当做罪犯对待。 | 客扱いされるのはきらいだ。我讨厌被当做客人对待。 ④处理，办；调停。処理。 | 事務の扱いがじょうずだ。办事高明。 ⑤经营，管。担当。経営。 | この商品は大阪支店の扱いになっています。这种商品由大阪分公司经办。,"N1,vocab"
Default,扱う,①待，待遇，对待，接待。,あつかう,,人を冷たく扱う。对人冷淡。 ②处理；办。 | この事件は扱いやすい。这个事件好处理。 ③使用，操纵。 | この自動車は扱いにくい。这辆汽车难于操纵。 ④管，经营。 | こちらで電報を扱っていますか。这里办电报业务吗？ ⑤报道。 | 新聞は彼の発見を大きく扱ってる。报纸着重报道了他的发现。,"N1,vocab"
Default,挿す,插。插进。,さす,,花瓶に花をさす。把花插进花瓶里。,"N1,vocab"
Default,茶番,①闹剧。丑剧。,ちゃばん,,とんだちゃばんだ。真是个丑剧。 | 両党で慣れあいのとんだちゃばんだった。两党串通演了一场丑剧。 ②浅薄的花招，一眼看穿的把戏。 | それは茶番だよ。那是耍花招。 ③烹茶的人，茶房。,"N1,vocab"
Default,産まれる,生，产，出生，诞生。,うまれる,,子どもが産まれる。生孩子。,"N1,vocab"
Default,唱える,提倡。主张。念。诵。,となえる,,念仏をとなえる。念佛。 | いまどき天動説をとなえるとは変な人だ。现如今还主张“天动论”，真是个怪人。 | その法案には多くの人が異議を唱えている。对于那项法案很多人提出异议。 | 目を閉じて呪文をとなえる。合上眼睛念咒文。 | 万歳をとなえる。欢呼万岁。,"N1,vocab"
Default,陳謝,道歉。赔不是。,ちんしゃ,,頭取はちんしゃの言葉を繰り返した。总负责人再三赔礼道歉。 | 大臣があのようにちんしゃしているじゃないか。大臣不都如此赔礼道歉了嘛。 15,"N1,vocab"
Default,承る,①恭听。,うけたまわる,,一度御高説を承りたい。我想找个机会请教您的高见。 | その計画の内容を承りたい。愿听一听那个计划的内容。 | 一体それはなんの役に立つものか承りたいものですな。那究竟有何用处，我倒愿洗耳恭听一下。 ②遵从，接受。 | 御注文は確かに承りました。您的订单我们已经收到了。 | ご意見を喜んで承ります。乐于遵命。 ③听说。 | 承りますればこの度はお父様が名誉ある賞を…。听说这次您父亲获得了大奖…。 ④知道，敬悉。 | 委細承りました。敬悉各情。,"N1,vocab"
Default,喫する,吃，喝，抽。,きっする,,茶を喫する。喝茶。遭受，受到。 | 惨敗を喫する。遭受惨败。,"N1,vocab"
Default,持参,自备。自带。,じさん,,弁当じさんで。盒饭自备。 | 娘にじさん金を持たせてやる。给女儿陪嫁钱。,"N1,vocab"
Default,遅れる,①晚；误，耽误。,おくれる,,約束の時間に1時間遅れる。比约定的时间晚了一个小时。 | 支払いが遅れる。付晚了。 | 汽車が20分遅れた。火车误点（晚点）二十分钟。 | 返事が遅れて失礼しました。回信晚了很对不起。 | 彼は遅れてやってきた。他来得晚。今月は生理が遅れている。这个月，经期错后了。 | 5メートル遅れて2着でゴールイン。落后五米，以第二名进入终点。 ②没赶上；迟到；误，耽误。 | 汽車に遅れる。没赶上火车；误了火车。 | 急がないと遅れるよ。不快点可要赶不上了。 | 学校に遅れる。上课迟到。 | 1分も遅れてはならない。一分钟也不许耽误。 | これから遅れないようにしてくれ。以后请不要迟到了。 ③慢。 | この腕時計は1か月に3秒しか遅れない。这块手表一个月只慢三秒。 | ぼくの時計は5分遅れている。我的表慢五分钟。 ④输，负，差。 | 進歩に遅れる。停步不前。,"N1,vocab"
Default,歯車,齿轮。牙轮。,はぐるま,,このところ協会のはぐるまが狂っているようだ。最近协会的运作好像有问题。 | 歯車がかみ合う。配合得很好。 | 歯車がかみ合わない啮合不正常。 | チームのはぐるまがかみ合わない。队伍配合得不好。,"N1,vocab"
Default,歯止め,煞住。抑制。刹车。,はどめ,,はどめがきかない。歯止めが効かない。不能控制。 | 温暖化の進行にはどめが効かない。无法阻止气候变暖的进程。 | 歯止めをかける。抑制。 | 乱開発にはどめをかける。抑制乱开发。,"N1,vocab"
Default,赤らむ,变红。,あからむ,,顔が赤らむ。 脸红。,"N1,vocab"
Default,赤らめる,发红。,あからめる,,彼女はそれを聞いて顔を赤らめた。她一听，脸就红了。,"N1,vocab"
Default,赤痢,赤痢。痢疾。,せきり,,全国でせきりが流行した。全国流行赤痢。 | 旅先でせきりにかかった在旅途中染上了赤痢。,"N1,vocab"
Default,赤組,红队。,あかくみ,,,"N1,vocab"
Default,醜悪,丑陋。丑劣。,しゅうあく,,しゅうあくな行為。丑恶的行为。 | 相続をめぐって遺族間でしゅうあくな争いをする。围绕遗产继承问题，遗属之间展开了丑陋的纠纷。,"N1,vocab"
Default,出来栄え,做出的结果。,できばえ,,今度の舞台はみごとなできばえだった。这次舞台演出相当精彩。 | これは思わぬ出来栄えだ。这真是意想不到的成果。,"N1,vocab"
Default,出来心,一时的冲动；偶发的恶念。,できごころ,,プロポーズもできごころだったっていうの。这么说，求婚也是你一时冲动吗？ | ほんのできごころで盗みを働いた。仅仅因为一时冲动就偷了东西。彼は一時の出来心で盗みを働いた。 | 他因一时冲动而去偷东西。,"N1,vocab"
Default,出世,成功。成名。发迹。,しゅっせ,,しゅっせの近道。终南捷径。 | しゅっせ争いは嫌いだ。我讨厌仕途竞争。 | ひたすら会社のしゅっせ街道を歩む在公司一路升任。 | 彼のしゅっせ作は輸出という経済小説である。他的成名作是一部名为出口的经济小说。 | しゅっせがしら/出世頭。最成功的人。发迹最快的人。,"N1,vocab"
Default,初々しい,天真烂漫，纯真无邪。,ういういしい,,初々しい新妻。清纯的新娘子。,"N1,vocab"
